"RefDes","Value","Name","Quantity","Pattern","Description"
"B1","","Battery Pack","1","Barcode Scanner Battery",""
"C1","100nF","","1","CAP_0603",""
"C2","22nF","C1608X7R1H223K","1","CAP_0603",""
"C3","100nF","","1","CAP_0603",""
"C4","100nF","","1","CAP_0603",""
"C5","330nF","","1","CAP_0603",""
"C6","22nF","C1608X7R1H223K","1","CAP_0603",""
"C8","100uF","C1210C107M8PACTU","1","CAP_1210",""
"C9","10uF","","1","CAP_0805",""
"C11","100nF","CAP_0603","1","CAP_0603",""
"D1","","1N4148W-7-F","1","SOD-123","Diode"
"F1","","MF-MSMF075/24-2","1","CAP_1812","Fuse"
"J1","","614104150121","1","614104150121",""
"LS1","","BUZZER","1","HDR-2x1T/2.54x2.54/3x5","Buzzer"
"Q1","","SI1424EDH-T1-GE3","1","SOT363","MOSFET "
"Q5","","BCV47","1","SOT23","Bipolar NPN"
"R1","2K2","RES_FIXED","1","RES_0603","Fixed Resistor"
"R2","2K2","RES_FIXED","1","RES_0603","Fixed Resistor"
"R3","2K2","RES_FIXED","1","RES_0603","Fixed Resistor"
"R4","100R","RES_FIXED","1","RES_0603","Fixed Resistor"
"R5","160R","RES_FIXED","1","RES_0603","Fixed Resistor"
"R6","260R","RES_FIXED","1","RES_0603","Fixed Resistor"
"R7","1K","RES_FIXED","1","RES_0603","Fixed Resistor"
"R8","32K4","RES_FIXED","1","RES_0603","Fixed Resistor"
"R9","39K","RES_FIXED","1","RES_0603","Fixed Resistor"
"R10","100R","RES_FIXED","1","RES_0603","Fixed Resistor"
"R11","5K36","RES_FIXED","1","RES_0603","Fixed Resistor"
"R12","1K02","RES_FIXED","1","RES_0603","Fixed Resistor"
"R13","10K","RES_FIXED","1","RES_0603","Fixed Resistor"
"R14","1K","RES_FIXED","1","RES_0603","Fixed Resistor"
"R15","10K","RES_FIXED","1","RES_0603","Fixed Resistor"
"U1","","Raspberry Pi Zero","1","Raspberry Pi Zero",""
"U2","","LTC2943-1","1","DFN-8/3x3x0.5",""
"U3","","BQ29209","1","VSON 8",""
"U4","","LMZ12002","1","LMZ12002",""
"U5","","Laser Scanner","1","FH12-15S-0.5SH(55)",""
"U6","","74HC4050","1","SOIC-16/150mil",""
